outer_split,model_id,E_L,Q_L,V_L,complexity,RMSE_selected,MAE_selected,RMSE_baseline,MAE_baseline,RMSE_lm,MAE_lm,n_test
33,M6,FALSE,TRUE,TRUE,2,1.3116231501569606,0.8494742856867776,1.3407555622575975,0.889719243397626,1.3028619562488155,0.8475672711263761,825
34,M6,FALSE,TRUE,TRUE,2,1.2923325308961542,0.8442530814704021,1.3299264025881024,0.8847115374774643,1.2933788609437524,0.8580359041890303,825
35,M7,TRUE,TRUE,TRUE,3,1.279336200129623,0.900062760014562,1.3176539170172974,0.9330148866529051,1.2700058450319058,0.903641563848546,825
36,M7,TRUE,TRUE,TRUE,3,1.266215621381229,0.8432689445699965,1.3027525670472575,0.8768858573188995,1.2498886761026988,0.8373038659529756,824
37,M7,TRUE,TRUE,TRUE,3,1.3153888561321028,0.8950052687050593,1.3488768063375625,0.927238245988468,1.3105888764588454,0.9006772170062057,824
38,M7,TRUE,TRUE,TRUE,3,1.4462291591208816,0.9668851872830303,1.4454030427746045,0.9846826356832338,1.4438158093061664,0.975331321482818,823
39,M7,TRUE,TRUE,TRUE,3,1.3154849209311206,0.8690621694935042,1.3589988390476395,0.9049254215334,1.3071319760768616,0.8726644144790656,822
40,M7,TRUE,TRUE,TRUE,3,1.338716745318522,0.9150402122625111,1.3680507936324044,0.9376469770345794,1.3290815918353964,0.9150253612225079,821
41,M6,FALSE,TRUE,TRUE,2,1.258523695561211,0.8597771489450637,1.2954595888753355,0.8832774116342165,1.2597494574581811,0.8685761163079257,825
42,M7,TRUE,TRUE,TRUE,3,1.2951368496004014,0.8880145528465753,1.3294086439514448,0.9196466153873609,1.289813324445268,0.8905833247485088,825
43,M7,TRUE,TRUE,TRUE,3,1.2556958751051486,0.8544055053378605,1.2877107718416627,0.8937390211898288,1.2535897190879555,0.8619268781087531,825
44,M7,TRUE,TRUE,TRUE,3,1.4028496626502525,0.9301690055659957,1.4186836884582588,0.9585915239011104,1.3879846239220885,0.9255059150960137,825
45,M6,FALSE,TRUE,TRUE,2,1.2026471270570258,0.8109876911424351,1.2605627934930117,0.8634178422985185,1.1974887049006548,0.8193958473380586,825
46,M7,TRUE,TRUE,TRUE,3,1.3905730064149746,0.8979961959998249,1.4197686936905998,0.9264334461363185,1.3820908658564033,0.8976948513397813,824
47,M7,TRUE,TRUE,TRUE,3,1.3404028109060244,0.9215681043744116,1.3640370004543607,0.9464005092573006,1.3333196014258943,0.923227185353639,824
48,M7,TRUE,TRUE,TRUE,3,1.326171259097069,0.8847233305629887,1.3819385430711595,0.9275595897247466,1.31657900827397,0.8888113552333479,823
49,M7,TRUE,TRUE,TRUE,3,1.3719576776064224,0.9097019444736317,1.3799478200240463,0.9325793261126726,1.3654852308537613,0.9158561753797119,822
50,M7,TRUE,TRUE,TRUE,3,1.2905739514847496,0.8676023640175486,1.3261747890382471,0.9021959032360779,1.288676797192165,0.8719951987117134,821
