"N","lambda","rho","truth","rep","status","naive_model","naive_reported_rmse","naive_true_rmse","naive_true_mae","naive_optimism_rmse","naive_TPR","naive_FPR","naive_F1","nested_top_model","nested_reported_rmse","nested_true_rmse","nested_true_mae","nested_optimism_rmse","nested_TPR","nested_FPR","nested_F1","nested_modal_true_rmse","nested_modal_true_mae","nested_modal_optimism","nested_modal_TPR","nested_modal_FPR","nested_modal_F1"
200,0.85,0.4,"M0",53,"ok","M1",1.01891171509288,1.00602404959045,0.802333999619063,0.0128876655024333,NA,0.333333333333333,0,"M0",1.02198440383851,1.00450805659843,0.801258525684239,0.0174763472400774,NA,0.233333333333333,0,1.00410803523152,0.800985922493204,0.0178763686069878,NA,0,NA
200,0.85,0.4,"M0",54,"ok","M3",0.922269445175556,1.00892224764655,0.80371796866825,-0.0866528024709946,NA,0.333333333333333,0,"M3",0.92876659793435,1.00769511315535,0.802753213797477,-0.0789285152209998,NA,0.2,0,1.00892224764655,0.80371796866825,-0.0801556497122,NA,0.333333333333333,0
200,0.85,0.4,"M0",55,"ok","M0",1.12259700853547,1.017279970306,0.812337827153454,0.105317038229465,NA,0,NA,"M0",1.13238477946114,1.01778638317181,0.81256305927462,0.114598396289334,NA,0.166666666666667,0,1.017279970306,0.812337827153454,0.115104809155139,NA,0,NA
200,0.85,0.4,"M0",56,"ok","M0",0.995282438605948,1.01845046617477,0.81739357827266,-0.0231680275688215,NA,0,NA,"M0",1.00541576860941,1.0188779304295,0.817377382577445,-0.0134621618200834,NA,0.2,0,1.01845046617477,0.81739357827266,-0.0130346975653568,NA,0,NA
200,0.85,0.4,"M0",57,"ok","M0",0.994474950754791,1.03235874860263,0.823688738035047,-0.0378837978478437,NA,0,NA,"M0",1.00425680175571,1.03847382842746,0.82943283471494,-0.0342170266717525,NA,0.3,0,1.03235874860263,0.823688738035047,-0.0281019468469248,NA,0,NA
200,0.85,0.4,"M0",58,"ok","M3",0.970188747159623,1.03309094618716,0.828079283810276,-0.0629021990275394,NA,0.333333333333333,0,"M3",0.986521579665406,1.03234961621961,0.827839674696369,-0.045828036554209,NA,0.3,0,1.03309094618716,0.828079283810276,-0.0465693665217564,NA,0.333333333333333,0
200,0.85,0.4,"M0",59,"ok","M0",1.05148403339868,1.01860057355749,0.822663740179206,0.0328834598411925,NA,0,NA,"M0",1.04613683067451,1.02070179769429,0.824514011070133,0.0254350329802175,NA,0.133333333333333,0,1.01860057355749,0.822663740179206,0.0275362571170163,NA,0,NA
200,0.85,0.4,"M0",60,"ok","M1",0.987456754036973,1.04289070376943,0.835791180038152,-0.055433949732458,NA,0.333333333333333,0,"M0",0.995817960334198,1.03677206983686,0.830953883202648,-0.0409541095026581,NA,0.166666666666667,0,1.03065343590428,0.826116586367145,-0.0348354755700829,NA,0,NA
200,0.85,0.4,"M0",61,"ok","M0",1.01987407502183,1.01341230701693,0.810535488916595,0.00646176800489862,NA,0,NA,"M0",1.03998260586918,1.01553753581271,0.812268329894185,0.0244450700564709,NA,0.133333333333333,0,1.01341230701693,0.810535488916595,0.0265702988522487,NA,0,NA
200,0.85,0.4,"M0",62,"ok","M5",0.961970353032026,1.04260379035116,0.82927565462473,-0.0806334373191318,NA,0.666666666666667,0,"M5",0.986279697880429,1.03650034472226,0.824371231321282,-0.0502206468418286,NA,0.5,0,1.04260379035116,0.82927565462473,-0.0563240924707288,NA,0.666666666666667,0
200,0.85,0.4,"M0",63,"ok","M2",0.908022539454619,1.01789794528466,0.814464195917487,-0.109875405830044,NA,0.333333333333333,0,"M2",0.924047966770864,1.01719474944875,0.813528478575103,-0.0931467826778841,NA,0.3,0,1.01789794528466,0.814464195917487,-0.0938499785137988,NA,0.333333333333333,0
200,0.85,0.4,"M0",64,"ok","M0",1.02290200764273,0.991994189069043,0.795646313762673,0.0309078185736883,NA,0,NA,"M0",1.0332337208019,0.991988954473778,0.795627110815102,0.0412447663281265,NA,0.0333333333333333,0,0.991994189069043,0.795646313762673,0.0412395317328614,NA,0,NA
200,0.85,0.4,"M0",65,"ok","M0",0.982325799076075,1.02072982236877,0.809661550513976,-0.0384040232926905,NA,0,NA,"M0",0.98371526052745,1.0207564910595,0.809692959054598,-0.0370412305320547,NA,0.0333333333333333,0,1.02072982236877,0.809661550513976,-0.0370145618413158,NA,0,NA
200,0.85,0.4,"M0",66,"ok","M0",1.08250087189966,1.01062868349162,0.808051745054949,0.0718721884080376,NA,0,NA,"M0",1.08704083676872,1.01355129897945,0.810326998765623,0.0734895377892679,NA,0.2,0,1.01062868349162,0.808051745054949,0.0764121532771043,NA,0,NA
200,0.85,0.4,"M0",67,"ok","M4",1.04737052462352,1.04798838811867,0.837711882283997,-0.000617863495153692,NA,0.666666666666667,0,"M0",1.05246440864267,1.0389489640318,0.830258261821084,0.0135154446108741,NA,0.3,0,1.03406829474783,0.825817995747149,0.0183961138948403,NA,0,NA
200,0.85,0.4,"M0",68,"ok","M1",1.02432727668949,1.03811063280594,0.822316984907229,-0.0137833561164564,NA,0.333333333333333,0,"M0",1.02262543340068,1.03636878180762,0.821062217572508,-0.0137433484069474,NA,0.133333333333333,0,1.03520754780875,0.820225706016027,-0.0125821144080689,NA,0,NA
200,0.85,0.4,"M0",69,"ok","M0",0.950159517357987,1.02488517882216,0.812672629146047,-0.0747256614641769,NA,0,NA,"M0",0.948261642159226,1.02509935011831,0.812928409544708,-0.0768377079590814,NA,0.0666666666666667,0,1.02488517882216,0.812672629146047,-0.0766235366629375,NA,0,NA
200,0.85,0.4,"M0",70,"ok","M1",1.05133658404918,1.01736293745884,0.816796223040009,0.0339736465903406,NA,0.333333333333333,0,"M0",1.04537488682966,1.01461137798031,0.815789677008939,0.0307635088493541,NA,0.133333333333333,0,1.01448812389324,0.815739501309101,0.0308867629364249,NA,0,NA
200,0.85,0.4,"M0",71,"ok","M3",1.00958251878259,1.01832543782464,0.816703892833316,-0.00874291904204316,NA,0.333333333333333,0,"M0",1.00914656075618,1.01743102910085,0.81650043560971,-0.00828446834467211,NA,0.3,0,1.01463400479042,0.814070122892671,-0.00548744403424051,NA,0,NA
200,0.85,0.4,"M0",72,"ok","M0",0.900394367459429,1.02340829525017,0.817406844789795,-0.123013927790737,NA,0,NA,"M0",0.894522998256094,1.02383912601014,0.817753468636058,-0.129316127754046,NA,0.0666666666666667,0,1.02340829525017,0.817406844789795,-0.128885296994072,NA,0,NA
200,0.85,0.4,"M0",73,"ok","M0",0.919455502220531,1.01201006101303,0.805855555397922,-0.092554558792503,NA,0,NA,"M0",0.921890932552306,1.01201006101303,0.805855555397922,-0.0901191284607279,NA,0,NA,1.01201006101303,0.805855555397922,-0.0901191284607279,NA,0,NA
