"tau","core_model","true_rmse","true_mae","pE","pQ","pV","N","lambda","rho","truth","rep"
0.7,"M0",1.02626006450379,0.817717821018949,0.2,0,0.6,200,0.7,0,"M0",44
0.8,"M0",1.02626006450379,0.817717821018949,0.2,0,0.6,200,0.7,0,"M0",44
0.6,"M0",1.03608890531271,0.822111437508288,0,0.2,0.1,200,0.7,0,"M0",45
0.7,"M0",1.03608890531271,0.822111437508288,0,0.2,0.1,200,0.7,0,"M0",45
0.8,"M0",1.03608890531271,0.822111437508288,0,0.2,0.1,200,0.7,0,"M0",45
0.6,"M0",1.02773961272604,0.822300191278216,0.2,0.3,0.1,200,0.7,0,"M0",46
0.7,"M0",1.02773961272604,0.822300191278216,0.2,0.3,0.1,200,0.7,0,"M0",46
0.8,"M0",1.02773961272604,0.822300191278216,0.2,0.3,0.1,200,0.7,0,"M0",46
0.6,"M0",1.02160162821266,0.823037667902049,0.4,0.1,0.3,200,0.7,0,"M0",47
0.7,"M0",1.02160162821266,0.823037667902049,0.4,0.1,0.3,200,0.7,0,"M0",47
0.8,"M0",1.02160162821266,0.823037667902049,0.4,0.1,0.3,200,0.7,0,"M0",47
0.6,"M1",1.02229536745234,0.823407447377826,0.7,0,0.3,200,0.7,0,"M0",48
0.7,"M1",1.02229536745234,0.823407447377826,0.7,0,0.3,200,0.7,0,"M0",48
0.8,"M0",1.01981693591342,0.820782723233009,0.7,0,0.3,200,0.7,0,"M0",48
0.6,"M0",1.04518473223564,0.836285858787653,0.2,0,0.1,200,0.7,0,"M0",49
0.7,"M0",1.04518473223564,0.836285858787653,0.2,0,0.1,200,0.7,0,"M0",49
0.8,"M0",1.04518473223564,0.836285858787653,0.2,0,0.1,200,0.7,0,"M0",49
0.6,"M0",1.03475163630626,0.821238026766486,0.2,0.1,0,200,0.7,0,"M0",50
0.7,"M0",1.03475163630626,0.821238026766486,0.2,0.1,0,200,0.7,0,"M0",50
0.8,"M0",1.03475163630626,0.821238026766486,0.2,0.1,0,200,0.7,0,"M0",50
0.6,"M1",1.02026937635199,0.814092940823808,0.6,0.1,0,200,0.7,0,"M0",51
0.7,"M0",1.01356221568829,0.808616418389959,0.6,0.1,0,200,0.7,0,"M0",51
0.8,"M0",1.01356221568829,0.808616418389959,0.6,0.1,0,200,0.7,0,"M0",51
0.6,"M0",1.02093293866865,0.811503033054022,0,0.2,0.3,200,0.7,0,"M0",52
0.7,"M0",1.02093293866865,0.811503033054022,0,0.2,0.3,200,0.7,0,"M0",52
0.8,"M0",1.02093293866865,0.811503033054022,0,0.2,0.3,200,0.7,0,"M0",52
0.6,"M1",1.03721697938315,0.831392143317628,0.8,0,0.1,200,0.7,0,"M0",53
0.7,"M1",1.03721697938315,0.831392143317628,0.8,0,0.1,200,0.7,0,"M0",53
0.8,"M1",1.03721697938315,0.831392143317628,0.8,0,0.1,200,0.7,0,"M0",53
0.6,"M1",1.01871228090161,0.809763915970573,1,0.3,0.3,200,0.7,0,"M0",54
0.7,"M1",1.01871228090161,0.809763915970573,1,0.3,0.3,200,0.7,0,"M0",54
0.8,"M1",1.01871228090161,0.809763915970573,1,0.3,0.3,200,0.7,0,"M0",54
0.6,"M0",1.01684488698523,0.809889898409524,0,0,0.1,200,0.7,0,"M0",55
0.7,"M0",1.01684488698523,0.809889898409524,0,0,0.1,200,0.7,0,"M0",55
0.8,"M0",1.01684488698523,0.809889898409524,0,0,0.1,200,0.7,0,"M0",55
0.6,"M0",1.02824880368097,0.821592218725172,0.3,0,0.3,200,0.7,0,"M0",56
0.7,"M0",1.02824880368097,0.821592218725172,0.3,0,0.3,200,0.7,0,"M0",56
0.8,"M0",1.02824880368097,0.821592218725172,0.3,0,0.3,200,0.7,0,"M0",56
0.6,"M2",1.02857465331743,0.823124592678718,0,0.9,0.1,200,0.7,0,"M0",57
0.7,"M2",1.02857465331743,0.823124592678718,0,0.9,0.1,200,0.7,0,"M0",57
0.8,"M2",1.02857465331743,0.823124592678718,0,0.9,0.1,200,0.7,0,"M0",57
0.6,"M0",1.00563564422631,0.797666117818582,0,0,0.1,200,0.7,0,"M0",58
0.7,"M0",1.00563564422631,0.797666117818582,0,0,0.1,200,0.7,0,"M0",58
0.8,"M0",1.00563564422631,0.797666117818582,0,0,0.1,200,0.7,0,"M0",58
0.6,"M0",1.01808864411412,0.81449573844998,0.1,0,0,200,0.7,0,"M0",59
0.7,"M0",1.01808864411412,0.81449573844998,0.1,0,0,200,0.7,0,"M0",59
0.8,"M0",1.01808864411412,0.81449573844998,0.1,0,0,200,0.7,0,"M0",59
0.6,"M0",1.00655336934394,0.802619194730956,0,0,0,200,0.7,0,"M0",60
0.7,"M0",1.00655336934394,0.802619194730956,0,0,0,200,0.7,0,"M0",60
0.8,"M0",1.00655336934394,0.802619194730956,0,0,0,200,0.7,0,"M0",60
0.6,"M0",1.03084987177931,0.825292518674411,0.5,0.4,0,200,0.7,0,"M0",61
0.7,"M0",1.03084987177931,0.825292518674411,0.5,0.4,0,200,0.7,0,"M0",61
0.8,"M0",1.03084987177931,0.825292518674411,0.5,0.4,0,200,0.7,0,"M0",61
0.6,"M0",1.03057238530297,0.822883176293215,0,0.3,0,200,0.7,0,"M0",62
0.7,"M0",1.03057238530297,0.822883176293215,0,0.3,0,200,0.7,0,"M0",62
0.8,"M0",1.03057238530297,0.822883176293215,0,0.3,0,200,0.7,0,"M0",62
0.6,"M3",1.03906896094221,0.829764538827979,0,0.1,0.9,200,0.7,0,"M0",63
0.7,"M3",1.03906896094221,0.829764538827979,0,0.1,0.9,200,0.7,0,"M0",63
0.8,"M3",1.03906896094221,0.829764538827979,0,0.1,0.9,200,0.7,0,"M0",63
0.6,"M3",1.02079329923762,0.815094633069738,0.4,0.1,0.7,200,0.7,0,"M0",64
0.7,"M3",1.02079329923762,0.815094633069738,0.4,0.1,0.7,200,0.7,0,"M0",64
0.8,"M0",1.01660581838891,0.813365115512033,0.4,0.1,0.7,200,0.7,0,"M0",64
0.6,"M5",1.04933737041203,0.835130954354374,0.8,0.4,0.9,200,0.7,0,"M0",65
0.7,"M5",1.04933737041203,0.835130954354374,0.8,0.4,0.9,200,0.7,0,"M0",65
0.8,"M5",1.04933737041203,0.835130954354374,0.8,0.4,0.9,200,0.7,0,"M0",65
0.6,"M1",1.03063075333043,0.816902155791593,0.9,0.2,0.1,200,0.7,0,"M0",66
0.7,"M1",1.03063075333043,0.816902155791593,0.9,0.2,0.1,200,0.7,0,"M0",66
0.8,"M1",1.03063075333043,0.816902155791593,0.9,0.2,0.1,200,0.7,0,"M0",66
0.6,"M0",1.03562137332811,0.830209257189365,0.5,0.2,0.2,200,0.7,0,"M0",67
0.7,"M0",1.03562137332811,0.830209257189365,0.5,0.2,0.2,200,0.7,0,"M0",67
0.8,"M0",1.03562137332811,0.830209257189365,0.5,0.2,0.2,200,0.7,0,"M0",67
0.6,"M0",1.01212803854456,0.809213883789723,0,0.1,0,200,0.7,0,"M0",68
0.7,"M0",1.01212803854456,0.809213883789723,0,0.1,0,200,0.7,0,"M0",68
