N,lambda,rho,truth,tau,core_model,true_rmse,true_mae,pE,pQ,pV,n
200,0.7,0.4,M7,0.6,M0,1.0625608501887942,0.846230859928415,0.43333333333333335,0.4666666666666667,0.16666666666666666,3
200,0.7,0.4,M7,0.6,M1,1.0605896114680609,0.8459967147879118,0.875,0.26666666666666666,0.26666666666666666,12
200,0.7,0.4,M7,0.6,M2,1.0452946712899815,0.8335333434825241,0.2057142857142857,0.9171428571428571,0.22,35
200,0.7,0.4,M7,0.6,M3,1.0506271329715275,0.8384947311846238,0.23793103448275862,0.2206896551724138,0.9137931034482759,29
200,0.7,0.4,M7,0.6,M4,1.0467551788426352,0.8343274933435817,0.85,0.8875,0.228125,32
200,0.7,0.4,M7,0.6,M5,1.0440448985500412,0.8330195834254864,0.8448275862068966,0.16551724137931034,0.9448275862068966,29
200,0.7,0.4,M7,0.6,M6,1.0381763880623052,0.8295658478001436,0.16774193548387098,0.9096774193548387,0.8483870967741935,31
200,0.7,0.4,M7,0.6,M7,1.0375987061712886,0.8271160449309102,0.8310344827586207,0.8896551724137931,0.8379310344827586,29
200,0.7,0.4,M7,0.7,M0,1.0645232883736593,0.8486946306690247,0.4111111111111111,0.4444444444444444,0.3,9
200,0.7,0.4,M7,0.7,M1,1.0605741709784287,0.8456937014405341,0.90625,0.35625,0.28125,16
200,0.7,0.4,M7,0.7,M2,1.0477010251239294,0.8350764909987642,0.25952380952380955,0.9380952380952381,0.25,42
200,0.7,0.4,M7,0.7,M3,1.0509103979613945,0.8385725621850714,0.27575757575757576,0.25757575757575757,0.9424242424242424,33
200,0.7,0.4,M7,0.7,M4,1.0476824721011757,0.8355189536142644,0.8814814814814815,0.9296296296296296,0.3037037037037037,27
200,0.7,0.4,M7,0.7,M5,1.0453460832688777,0.8344202195091641,0.9,0.144,0.956,25
200,0.7,0.4,M7,0.7,M6,1.0371578020405579,0.8287415425840129,0.21666666666666667,0.9266666666666666,0.8833333333333333,30
200,0.7,0.4,M7,0.7,M7,1.03407000750324,0.8235347884672726,0.8833333333333333,0.9,0.8777777777777778,18
200,0.7,0.4,M7,0.8,M0,1.0655444173102693,0.8493731943880867,0.4,0.43333333333333335,0.39999999999999997,15
200,0.7,0.4,M7,0.8,M1,1.061301802098838,0.8470794975389541,0.9111111111111111,0.34444444444444444,0.3277777777777778,18
200,0.7,0.4,M7,0.8,M2,1.04903531952206,0.8366023890245182,0.3211538461538461,0.95,0.3076923076923077,52
200,0.7,0.4,M7,0.8,M3,1.0498423002072168,0.837897977158616,0.3162162162162162,0.3081081081081081,0.9648648648648649,37
200,0.7,0.4,M7,0.8,M4,1.0474431805631084,0.8348536606728861,0.9363636363636364,0.9318181818181819,0.32272727272727275,22
200,0.7,0.4,M7,0.8,M5,1.0453907998089587,0.8341767186850625,0.9380952380952381,0.15714285714285714,0.9761904761904762,21
200,0.7,0.4,M7,0.8,M6,1.0363991824003476,0.8275995103205847,0.252,0.9440000000000001,0.912,25
200,0.7,0.4,M7,0.8,M7,1.0349745105388377,0.8246850382574841,0.95,0.9400000000000001,0.92,10
200,0.85,0,M0,0.6,M0,1.0172627973185608,0.8117294908389588,0.14661654135338345,0.1285714285714286,0.14511278195488722,133
200,0.85,0,M0,0.6,M1,1.0191219549786272,0.8133295626646421,0.7461538461538462,0.09230769230769231,0.06923076923076923,13
200,0.85,0,M0,0.6,M2,1.0243144314937307,0.8169612537314118,0.14,0.795,0.13,20
200,0.85,0,M0,0.6,M3,1.024237865745869,0.8160258701608674,0.14285714285714285,0.16428571428571428,0.775,28
200,0.85,0,M0,0.6,M4,1.0411870704562018,0.8347185423706894,0.9,1,0,2
200,0.85,0,M0,0.6,M5,1.0270681054359425,0.8178349086842023,0.75,0.15000000000000002,0.95,2
200,0.85,0,M0,0.6,M6,1.0344468090291565,0.823968392228926,0.05,0.9,0.8,2
200,0.85,0,M0,0.7,M0,1.0177092169354198,0.8119972248201197,0.15714285714285714,0.14675324675324675,0.17987012987012987,154
200,0.85,0,M0,0.7,M1,1.0184287679513346,0.8123144457079362,0.79,0.08,0.08,10
200,0.85,0,M0,0.7,M2,1.022784551571758,0.8156614631184824,0.15714285714285714,0.8785714285714286,0.10714285714285715,14
200,0.85,0,M0,0.7,M3,1.0247851729438018,0.8160498537966391,0.13529411764705881,0.19411764705882353,0.9058823529411765,17
200,0.85,0,M0,0.7,M4,1.0411870704562018,0.8347185423706894,0.9,1,0,2
200,0.85,0,M0,0.7,M5,1.0245339068440225,0.8201124402174006,0.9,0.1,1,1
200,0.85,0,M0,0.7,M6,1.0344468090291565,0.823968392228926,0.05,0.9,0.8,2
200,0.85,0,M0,0.8,M0,1.0174044979709913,0.8117565630024316,0.17300613496932515,0.1521472392638037,0.18282208588957055,163
200,0.85,0,M0,0.8,M1,1.0243072886569042,0.8179441346328186,0.88,0.060000000000000005,0.060000000000000005,5
200,0.85,0,M0,0.8,M2,1.0243262340725494,0.8164016479743854,0.14615384615384616,0.9,0.15384615384615385,13
200,0.85,0,M0,0.8,M3,1.0258721869442913,0.8166953391179875,0.14666666666666667,0.2,0.9333333333333333,15
200,0.85,0,M0,0.8,M4,1.0411870704562018,0.8347185423706894,0.9,1,0,2
200,0.85,0,M0,0.8,M5,1.0245339068440225,0.8201124402174006,0.9,0.1,1,1
200,0.85,0,M0,0.8,M6,1.0369631850733891,0.8250690418469974,0,1,0.9,1
200,0.85,0,M6,0.6,M0,1.047752424834499,0.8374175009617132,0.14615384615384616,0.36153846153846153,0.34615384615384615,13
200,0.85,0,M6,0.6,M1,1.0465635051320556,0.8337470978282172,0.825,0.1625,0.25,8
200,0.85,0,M6,0.6,M2,1.0313163056562948,0.8228037207546665,0.11794871794871795,0.8743589743589744,0.21282051282051281,39
200,0.85,0,M6,0.6,M3,1.0327235013004927,0.8235819201102716,0.17962962962962964,0.23703703703703705,0.9203703703703704,54
200,0.85,0,M6,0.6,M4,1.0285705897135007,0.8218519407273949,0.74,0.8,0.3,5
200,0.85,0,M6,0.6,M5,1.0303853677327737,0.8228133484807534,0.7833333333333333,0.16666666666666669,0.8833333333333333,6
200,0.85,0,M6,0.6,M6,1.0226947389096734,0.8158312363822788,0.16875,0.8734375,0.859375,64
200,0.85,0,M6,0.6,M7,1.0268589729331352,0.8187016012538683,0.6636363636363636,0.7545454545454545,0.9,11
200,0.85,0,M6,0.7,M0,1.0461767255703038,0.8350279546126255,0.2,0.38181818181818183,0.4,22
200,0.85,0,M6,0.7,M1,1.0481945459742983,0.8361114998140502,0.8375,0.1625,0.275,8
200,0.85,0,M6,0.7,M2,1.0306539874685596,0.822482410434418,0.14347826086956522,0.9021739130434783,0.2847826086956522,46
200,0.85,0,M6,0.7,M3,1.0330662623292863,0.8240178863114478,0.19491525423728814,0.2847457627118644,0.9305084745762712,59
200,0.85,0,M6,0.7,M4,1.026293690400581,0.8203886960130916,0.7749999999999999,0.775,0.3,4
200,0.85,0,M6,0.7,M5,1.0326411188722637,0.8243622140762406,0.8142857142857143,0.32857142857142857,0.9285714285714286,7
200,0.85,0,M6,0.7,M6,1.0220321854768253,0.814940410942555,0.19811320754716982,0.9,0.9150943396226415,53
200,0.85,0,M6,0.7,M7,1.0273546756060692,0.8170734854216438,0.8,1,1,1
200,0.85,0,M6,0.8,M0,1.04584243776453,0.8351120797587641,0.2641025641025641,0.4615384615384615,0.38461538461538464,39
200,0.85,0,M6,0.8,M1,1.0477846448489685,0.8346265020155726,0.8833333333333333,0.16666666666666666,0.23333333333333334,6
200,0.85,0,M6,0.8,M2,1.0296123555617926,0.8220424199471725,0.14285714285714285,0.95,0.3333333333333333,42
200,0.85,0,M6,0.8,M3,1.033141296483792,0.823984226921621,0.22388059701492538,0.3328358208955224,0.9402985074626866,67
200,0.85,0,M6,0.8,M4,1.027897082896019,0.8208560601442126,1,0.9,0.5,1
200,0.85,0,M6,0.8,M5,1.0376567788873465,0.8260296499947467,0.9666666666666667,0.26666666666666666,1,3
200,0.85,0,M6,0.8,M6,1.0215887367344827,0.8145429391648831,0.1951219512195122,0.9317073170731708,0.9341463414634147,41
200,0.85,0,M6,0.8,M7,1.0273546756060692,0.8170734854216438,0.8,1,1,1
200,0.85,0,M7,0.6,M0,1.0540320102500527,0.8409921873752776,0.275,0.15,0.35000000000000003,4
200,0.85,0,M7,0.6,M1,1.0473364038010935,0.8366263573180943,0.9785714285714285,0.2785714285714286,0.29285714285714287,14
200,0.85,0,M7,0.6,M2,1.0428107108404774,0.8319370579337098,0.25,0.9111111111111111,0.25,18
200,0.85,0,M7,0.6,M3,1.04825904874608,0.8391090578339923,0.2545454545454546,0.22727272727272727,0.8363636363636363,11
200,0.85,0,M7,0.6,M4,1.0364418501515074,0.8279769832173731,0.8742857142857143,0.8828571428571429,0.2057142857142857,35
200,0.85,0,M7,0.6,M5,1.0314384511772325,0.822934876591571,0.8787878787878788,0.24242424242424243,0.8696969696969697,33
200,0.85,0,M7,0.6,M6,1.0311233755805957,0.8239849952687521,0.20434782608695654,0.9043478260869565,0.8804347826086957,46
200,0.85,0,M7,0.6,M7,1.0254658011051456,0.8186839640411034,0.8384615384615385,0.8487179487179487,0.8743589743589744,39
200,0.85,0,M7,0.7,M0,1.057434581681401,0.8446792671640655,0.35714285714285715,0.32857142857142857,0.35714285714285715,7
200,0.85,0,M7,0.7,M1,1.04789604003362,0.8368263440669171,0.968421052631579,0.3263157894736842,0.30526315789473685,19
200,0.85,0,M7,0.7,M2,1.0411199493271712,0.8308491117624336,0.2916666666666667,0.9416666666666667,0.31666666666666665,24
200,0.85,0,M7,0.7,M3,1.0468413880599152,0.8369772769013201,0.2875,0.30625,0.88125,16
200,0.85,0,M7,0.7,M4,1.0370162775697849,0.8286852517233804,0.890625,0.915625,0.246875,32
200,0.85,0,M7,0.7,M5,1.0294604868070767,0.8217275734323671,0.9,0.2645161290322581,0.8903225806451613,31
200,0.85,0,M7,0.7,M6,1.0317321505813493,0.8240454794337282,0.25555555555555554,0.9111111111111111,0.9088888888888889,45
200,0.85,0,M7,0.7,M7,1.0272931352836987,0.819836334510545,0.9,0.8653846153846154,0.8961538461538462,26
200,0.85,0,M7,0.8,M0,1.0622407770119684,0.8484655661192544,0.415,0.41,0.535,20
200,0.85,0,M7,0.8,M1,1.046728481129021,0.8366178913962904,0.9923076923076923,0.39999999999999997,0.29615384615384616,26
200,0.85,0,M7,0.8,M2,1.0440088441186612,0.832659713278514,0.35,0.9633333333333334,0.32,30
200,0.85,0,M7,0.8,M3,1.0450942477168867,0.8353140295665508,0.36470588235294116,0.3941176470588235,0.9411764705882353,17
200,0.85,0,M7,0.8,M4,1.0346902744383781,0.8272892449165072,0.9291666666666667,0.95,0.35,24
200,0.85,0,M7,0.8,M5,1.0310309855912636,0.8228908585768837,0.9384615384615385,0.28846153846153844,0.926923076923077,26
200,0.85,0,M7,0.8,M6,1.0323064753403899,0.8241280259046783,0.28780487804878047,0.9292682926829269,0.9390243902439025,41
200,0.85,0,M7,0.8,M7,1.0270549597479754,0.8196735094591451,0.90625,0.9,0.9187500000000001,16
200,0.85,0.4,M0,0.6,M0,1.0171703579398461,0.8118557294906528,0.12573529411764706,0.15073529411764705,0.1411764705882353,136
200,0.85,0.4,M0,0.6,M1,1.0190021428726999,0.8140236456373253,0.73,0.15,0.185,20
200,0.85,0.4,M0,0.6,M2,1.0206134298313208,0.8153858930860247,0.11904761904761905,0.7904761904761904,0.1619047619047619,21
200,0.85,0.4,M0,0.6,M3,1.019321470666219,0.8129658625561783,0.1076923076923077,0.13076923076923078,0.7153846153846154,13
200,0.85,0.4,M0,0.6,M4,1.0272148361623414,0.8197856120275235,0.7,0.88,0.060000000000000005,5
200,0.85,0.4,M0,0.6,M5,1.0426037903511582,0.8292756546247301,0.6,0.1,0.8,1
200,0.85,0.4,M0,0.6,M6,1.0418217880654839,0.8328188831417705,0.1,0.75,0.775,4
200,0.85,0.4,M0,0.7,M0,1.0168944542728506,0.8116416187328809,0.14465408805031446,0.17232704402515722,0.17169811320754716,159
200,0.85,0.4,M0,0.7,M1,1.01972003831972,0.8149792874411639,0.8,0.16923076923076924,0.2153846153846154,13
200,0.85,0.4,M0,0.7,M2,1.022054508265202,0.8162376015034462,0.20588235294117646,0.8823529411764706,0.11176470588235295,17
200,0.85,0.4,M0,0.7,M3,1.024118651350456,0.8177744188422875,0.15714285714285714,0.15714285714285714,0.8571428571428572,7
200,0.85,0.4,M0,0.7,M4,1.022320756425645,0.813945895865228,0.85,0.9,0,2
200,0.85,0.4,M0,0.7,M6,1.0532806482781192,0.8412546908006447,0.2,0.9,0.9,2
200,0.85,0.4,M0,0.8,M0,1.0168132557010912,0.8115716101876982,0.1625,0.18333333333333335,0.1755952380952381,168
200,0.85,0.4,M0,0.8,M1,1.0173948137719229,0.8144053075879848,0.8857142857142858,0.1142857142857143,0.22857142857142856,7
200,0.85,0.4,M0,0.8,M2,1.0207126572581486,0.8150344054382074,0.25625,0.9,0.1,16
200,0.85,0.4,M0,0.8,M3,1.0263001231872362,0.8190209533415945,0.18333333333333335,0.08333333333333334,0.8833333333333333,6
200,0.85,0.4,M0,0.8,M4,1.0433237268395796,0.8330785754799945,1,1,0,1
200,0.85,0.4,M0,0.8,M6,1.0532806482781192,0.8412546908006447,0.2,0.9,0.9,2
200,0.85,0.4,M6,0.6,M0,1.0533328894221432,0.8408857973849793,0.26666666666666666,0.2833333333333333,0.3333333333333333,6
200,0.85,0.4,M6,0.6,M1,1.050093099111845,0.8356576097944992,0.6,0.5,0.4,1
200,0.85,0.4,M6,0.6,M2,1.0275013080839124,0.820214020693502,0.1,0.8956521739130435,0.22608695652173913,46
